word	desc	example
ground	terra, amolado		
interest	interesse, juros		
reach	alcançar		
fast	rápido		
verb	verbo		
sing	cantar		
listen	ouvir		
six	seis		
table	mesa, tabela		
travel	viajar		
less	menos		
morning	manhã		
ten	dez		
simple	simples		
several	vários		
vowel	vogal		
toward	para		
war	guerra		
lay	deitar, amador		
against	contra		
pattern	padrão		
slow	devagar		
center	centro		
love	amor, amar		
person	pessoa		
money	dinheiro		
serve	servir		
appear	aparecer		
road	estrada		
map	mapa		
rain	chuva		
rule	régua, regra		
govern	governar		
pull	puxar		
cold	frio		
notice	aviso		
baby	bebê		
eight	oito		
village	vila		
meet	encontrar		
root	raiz		
buy	comprar		
raise	levantar		
solve	resolver		
metal	metal		
whether	se		
push	empurrar, iniciativa		
seven	sete		
paragraph	parágrafo		
third	terceiro		
shall	vai, dever, obrigação 		
held	guardado		
hair	cabelo		
describe	descrever		
cook	cozinhar		
floor	chão, derrotar		
either	um, ou outro, também		
result	resultado		
burn	queimar		
hill	colina		
safe	seguro, cofre		
cat	gato		
century	século		
consider	considerar		
type	tipo, datilografar		
law	lei		
bit	pouco, broca		
coast	costa, litoral		
copy	copiar		
phrase	frase		
silent	silencio		
tall	alto(pessoa)		
sand	areia		
soil	solo		
roll	giro, lista		
temperature	temperatura		
finger	dedo		
industry	indústria		
value	valor		
fight	luta		
lie	deitar, mentir		
beat	bater		
excite	instigar		
natural	natural		
view	vista		
sense	sentido		
sell	vender		
success	sucesso		
company	companhia, empresa		
subtract	subtrair		
event	evento		
particular	especial		
deal	negócio		
term	termo, período		
opposite	oposto		
wife	esposa		
shoe	sapato		
shoulder	ombro		
spread	espalhar		
arrange	arranjar		
camp	campo		
invent	inventar		
cotton	algodão		
born	nascido		
determine	determinar		
quart	quarto(medida)		
nine	nove		
truck	caminhão		
noise	barulho		
level	nível		
chance	chance, acaso		
gather	juntar, reunir		
shop	loja		
stretch	alcance, esticar,  extensão, estendet		
throw	arremessar		
shine	brilhar		
property	propriedade		
column	coluna		
molecule	molécula		
select	selecionar		
wrong	errado		
gray	cinza		
repeat	repetir		
require	exigir		
broad	amplo		
prepare	preparar		
salt	sal		
nose	nariz		
plural	plural		
anger	raiva		
claim	clamar		
continent	continente		
oxygen	oxigênio		
sugar	açúcar		
death	morte		
pretty	belo, muito		
does	faz, mesmo		
set	conjunto, fixar		
three	três		
want	querer		
air	ar		
well	bem, poço		
also	também		
play	peça, tocar		
small	pequeno		
end	fim, finalizar		
put	por		
home	casa		
read	ler, lido		
hand	mão		
port	porto		
large	grande		
spell	soletrar, encanto		
add	adicionar		
even	mesmo		
land	terra, pousar		
here	aqui		
must	dever		
big	grande		
high	alto		
such	tal		
follow	seguir		
act	ato, agir		
why	por-que		
ask	pedir, perguntar		
men	homens		
change	mudar		
went	foi		
light	leve, luz		
kind	bom, tipo		
off	por, desligado		
need	precisar		
house	casa		
picture	foto, filme		
try	tentar		
us	nos		
again	de-novo		
animal	animal		
point	ponto		
mother	mãe		
world	mundo		
near	perto		
build	construir		
self	próprio, ego		
earth	terra		
father	pai		
voice	voz		
unit	unidade		
power	poder, força		
town	municipal		
fine	bom, excelente		
certain	certo		
fly	voar, mosca		
fall	cair, queda, outono		
lead	levar, chumbo		
cry	choro, chorar		
dark	escuro		
machine	máquina		
note	anotar		
wait	esperar		
plan	plano		
figure	figura, imaginar		
star	estrela		
box	caixa		
noun	substantivo		
field	campo		
rest	resto, descanso		
correct	correto		
able	capaz		
pound	libra		
done	feito		
beauty	beleza		
drive	direção, dirigir		
stood	permanecido		
contain	conter		
front	frente		
teach	ensinar		
week	semana		
final	final		
gave	dado		
green	verde		
oh	ó		
quick	rápido		
develop	desenvolver		
ocean	oceano		
warm	quente		
free	livre, grátis		
minute	minuto		
strong	forte		
special	especial		
mind	mente, importar-se		
behind	atrás		
clear	claro		
tail	rabo		
produce	produção		
fact	fato		
ear	orelha, espiga		
else	outro		
quite	muito		
broke	quebrado		
case	caso, embalagem		
middle	meio		
kill	matar		
son	filho		
lake	lago		
moment	momento		
scale	escada, escala, escama		
loud	alto(som)		
spring	primavera, mola		
observe	observar		
child	criança		
straight	reto		
consonant	consoante		
nation	nação		
dictionary	dicionário		
milk	leite		
speed	velocidade		
method	método		
organ	órgão		
pay	pagar		
age	idade		
section	seção		
dress	vestido		
cloud	nuvem		
surprise	surpresa		
quiet	quieto		
stone	pedra		
tiny	minúsculo		
climb	escalar		
cool	frio		
design	desenho		
poor	pobre		
lot	muito, lote		
experiment	experimento		
bottom	baixo		
key	chave		
iron	ferro		
single	só, solteiro		
stick	vareta, fincar		
flat	achatado, plano		
twenty	vinte		
skin	pele		
smile	sorriso		
crease	ruga		
hole	buraco		
trade	comércio		
skill	habilidade		
women	mulheres		
season	estação		
solution	solução		
magnet	imã		
silver	prata		
thank	agradecer		
branch	galho		
match	competição, fósforo		
suffix	sufixo		
especially	especialmente		
fig	figo		
afraid	com-medo		
huge	grande, enorme		
sister	irmã		
steel	aço		
discuss	discutir		
dollar	dólar		
forward	adiante, passar adiante		
similar	semelhante		
guide	guia, guiar		
experience	experiência		
score	placar, duas-dezenas		
apple	maçã		
bought	comprado		
led	levado, conduziu, liderar		
colony	colonia		
pitch	piche, arremeço		
coat	casaco		
mass	massa, missa		
card	cartão		
band	banda		
rope	corda		
slip	escorregar		
win	ganhar		
dream	sonho		
evening	noite		
condition	condição		
feed	alimentar		
tool	ferramenta		
total	total		
basic	básico		
smell	cheiro		
valley	vale		
nor	nem		
double	dobro		
seat	assento		
arrive	chegar		
master	mestre		
track	trilha, pista		
head	cabeça		
stand	permanecer, de-pé, banca		
own	próprio		
page	página		
should	deveria		
country	país		
found	encontrado, fundar		
answer	resposta		
school	escola		
grow	crescer		
study	estudo		
still	até, calmo		
learn	aprender		
plant	planta, fábrica		
cover	cobrir		
food	comida		
sun	sol		
four	quatro		
between	entre		
state	estado		
keep	guardar		
eye	olho		
never	nunca		
last	último, durar		
let	deixar		
thought	pensamento, pensado		
city	cidade		
tree	árvore		
cross	cruz, cruzar		
farm	fazenda		
hard	duro		
start	começar		
might	poder, poderia		
story	estória, andar(prédio)		
saw	viu, serra		
far	longe		
sea	mar		
draw	arrastar, empate, desenhar		
left	esquerda, deixado		
late	tarde		
run	correr		
don't	não		
while	enquanto		
press	pressão, imprensa		
close	fechar		
night	noite		
real	real		
life	vida		
few	alguns, poucos		
north	norte		
street	rua		
inch	polegada		
multiply	multiplicar		
nothing	nada		
course	curso		
stay	ficar		
wheel	roda		
full	cheio		
force	força, forçar		
blue	azul		
object	objeto		
decide	decidir		
surface	superficie		
deep	profundo		
moon	lua		
island	ilha		
foot	pé		
system	sistema		
busy	ocupado		
test	teste		
record	recorde, gravar, registro		
boat	barco		
common	comum		
gold	ouro		
possible	possível		
plane	avião		
stead	local		
dry	seco		
wonder	admirar		
laugh	rir		
thousand	mil		
ago	atrás		
ran	corrido		
check	cheque, checagem		
game	jogo		
shape	forma		
equate	equacionar		
miss	sentir, senhorita		
brought	trazido		
heat	calor		
snow	neve		
tire	pneu, cansar		
bring	trazer		
yes	sim		
distant	distante		
fill	encher		
east	leste		
paint	pintar		
language	língua		
among	entre		
melody	melodia		
trip	viajar, passeio		
office	escritório, função		
receive	receber		
row	remar, fila		
mouth	boca		
exact	exato		
symbol	símbol		
die	morrer		
least	menos		
trouble	preocupação		
shout	gritar		
except	exceto		
wrote	escrito		
seed	semente		
tone	tom		
join	juntar		
suggest	sugerir		
clean	limpo		
break	quebrar		
lady	dama		
yard	jarda, quintal		
rise	levantar		
bad	mal		
blow	assoprar, sopro, pancada		
oil	óleo, petróleo		
blood	sangue		
touch	tocar		
grew	crescido		
cent	centavo		
mix	mistura		
team	grupo		
wire	arame		
cost	custo		
lost	perdido		
brown	marrom		
wear	usar		
garden	jardim		
equal	igual		
sent	enviado		
choose	escolher		
fell	caido		
fit	ajustado		
flow	correr, corrente		
fair	feira, claro, justo, honesto		
bank	banco		
collect	recolher, pagar		
save	salvar		
control	controle		
decimal	decimal		
parent	pais		
shore	praia, margem, litoral, borda		
division	divisão		
sheet	folha, lençol		
substance	substância		
favor	favor, favorecer		
connect	conectar		
post	pós, posto		
spend	gastar		
swim	nadar		
chord	acorde, corda vocal		
fat	gordo		
glad	contente		
original	original		
share	parte		
station	estação		
dad	papai		
bread	pão		
charge	carga, cobrança		
proper	próprio, adequado		
bar	bar, barra		
offer	oferecer		
segment	segmento		
slave	escravo		
duck	pato, mergulhar		
instant	instante		
market	mercado		
degree	grau		
populate	povoar		
chick	pintinho		
dear	querido		
enemy	inimigo		
reply	resposta		
drink	bebida		
occur	ocorrer		
support	apoiar		
speech	discurso		
nature	natureza		
range	alcance, pastagem		
steam	vapor		
motion	movimento		
path	caminho		
liquid	líquido		
log	lenha, diário		
meant	significado		
quotient	quociente		
teeth	dentes		
shell	concha		
neck	pescoço		
dessert	sobremesa		
